ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000320497
  Energy(MeV/n)              u              v              w              x              y              z
   3.537180e+01  -5.557932e-01  -1.073527e-01  -8.243600e-01   1.445634e+01  -4.572271e+01   1.175139e+02
   1.897133e+02  -4.006991e-01  -7.700433e-01  -4.964609e-01   5.282313e+01   2.520257e+01   1.197007e+02
   1.386373e+01   4.786468e-01  -8.623841e-01   1.648966e-01  -1.893153e+01   1.152933e+02   5.147861e+01
   1.579107e+02   1.920522e-01  -9.094244e-01   3.688674e-01  -1.108017e+02   8.775108e+01   2.935172e+00
   3.906903e+01  -7.738633e-02   5.111967e-01  -8.559727e-01   3.247124e+01  -9.947136e+01   5.448508e+01
   2.666056e+02  -1.965262e-01  -9.066199e-02  -9.762980e-01   6.139026e+01   5.028072e+01   8.540082e+01
   3.740265e+01   7.609815e-01  -3.770374e-01   5.279678e-01  -6.033888e+01   4.926626e+01  -6.725411e+01
   3.117732e+02   5.601847e-01   2.032963e-01  -8.030341e-01  -8.326824e+01   6.181251e+01   8.208949e+01
   3.462857e+02   3.850489e-01  -5.892450e-02  -9.210132e-01  -2.971289e+01  -3.303221e+01   9.826732e+01
   8.247410e+01   4.905073e-01  -1.610973e-02  -8.712881e-01  -1.994505e+01   2.808668e+01   1.030249e+02
   3.985986e+02   1.227006e-01  -2.002104e-01  -9.720393e-01   2.250749e+01   7.337274e+00   1.042064e+02
   4.272661e+02   4.708636e-01  -7.858120e-01  -4.009825e-01   1.663340e+00   1.231741e+02   9.954328e+00
   6.055037e+01   6.187367e-01   5.331935e-01  -5.769485e-01  -1.144533e+02   2.599511e+01   7.460627e+01
   3.786236e+01   4.541891e-01  -2.647009e-01  -8.506737e-01  -1.029261e+02   5.283241e+00   6.095595e+01
   7.376140e+01   7.294347e-01   2.445943e-01  -6.388260e-01  -1.221929e+02  -2.332775e+00   1.611968e+01
   1.432515e+02   2.974916e-01   9.472175e-01  -1.194900e-01  -1.109475e+02  -7.363841e+01  -2.307760e+01
   1.361936e+02   2.845236e-01  -9.383207e-01  -1.964703e-01   1.735394e+01   8.963917e+01   1.060075e+02
   1.839906e+02   8.152007e-01  -5.530779e-01  -1.719089e-01  -1.171052e+02  -4.795787e+00   4.181386e+01
   5.400379e+01  -1.636097e-01   8.768320e-02  -9.826207e-01   1.223635e+01  -3.048192e+01   9.701124e+01
   2.157828e+01   5.796659e-01  -7.327867e-01  -3.563861e-01  -2.786754e+01   9.085058e+01   4.846440e+01
   4.874201e+01   7.857631e-01   5.022811e-01  -3.609571e-01  -9.916393e+01  -2.849728e+01   2.151779e+01
   5.429578e+02  -6.849204e-01   7.277195e-01  -3.617027e-02   1.271855e+02  -1.646023e+01   2.514803e+01
   3.553639e+02  -1.017035e-01  -1.197677e-01  -9.875789e-01   2.446413e+01   5.695069e+01   9.183171e+01
   3.142844e+02  -3.914876e-02   1.302438e-01  -9.907088e-01   7.530124e+00  -2.268249e+01   9.765831e+01
   4.402066e+02   3.849350e-01  -1.958292e-01  -9.019290e-01  -2.792691e+01  -2.251538e+01   1.038431e+02
   9.282680e+01  -2.577236e-01  -3.207824e-01  -9.114149e-01  -2.620758e+01   3.460017e+01   1.049524e+02
   8.278366e+01   6.936515e-01  -3.863637e-01  -6.079233e-01  -9.863364e+01   5.608248e+01   1.630863e+01
   1.432348e+02  -9.343180e-02   5.267809e-01   8.448505e-01  -4.624267e+01  -8.055795e+01  -7.324864e+01
   2.896765e+02   1.158391e-01  -6.274254e-01  -7.700122e-01   5.234067e+01   1.263388e+02   3.479802e+01
   2.177938e+02   3.013287e-01   3.137412e-01  -9.004263e-01   3.070753e+01  -2.074246e+01   1.141074e+02
   3.374997e+02   6.448422e-01  -4.128443e-01  -6.432248e-01  -9.250310e+01  -2.087271e+01   7.612778e+01
   3.512126e+02   6.220794e-01   4.423081e-01  -6.460502e-01  -8.613588e+01   1.053823e+01   7.906165e+01
   2.218019e+02   2.127500e-01  -2.893346e-02  -9.766782e-01   1.433595e+01  -1.827645e+01   1.060521e+02
   1.439446e+02   8.873879e-01   3.354521e-02  -4.598016e-01  -8.123396e+01   5.766841e+01   6.491597e+01
   5.112619e+02   5.599532e-01   2.951452e-01  -7.741716e-01  -3.338873e+01  -1.128179e+02   6.200977e+01
   1.094513e+02   8.600000e-01   5.059351e-01   6.655594e-02  -8.020761e+01  -5.752863e+01  -2.878329e+01
   2.154021e+02   2.698762e-01  -2.351970e-04  -9.628950e-01   4.447644e+01  -2.320238e+01   1.163248e+02
   2.563886e+03  -1.599431e-01  -2.078606e-01  -9.649934e-01   2.926316e+01   5.115754e+01   8.775804e+01
   5.176833e+02  -1.532625e-01   1.095122e-02  -9.881248e-01  -1.588037e+01  -8.349783e+01   1.027395e+02
   1.825107e+02  -5.656970e-01   2.212972e-01  -7.943641e-01   9.177853e+00  -8.565145e+01   9.548981e+01
   1.048975e+01  -9.409976e-01   1.931627e-01  -2.778698e-01   9.413378e+01  -2.406425e+01   2.437121e+01
   7.912884e+02   1.751358e-01  -5.615920e-02  -9.829413e-01  -1.049593e+02  -3.382802e+01   8.496704e+01
   2.536828e+02   1.141586e-01  -2.180055e-01  -9.692479e-01  -1.039589e+02   5.134941e+01   7.937882e+01
   4.083963e+02  -4.452587e-02  -4.571570e-01  -8.882707e-01  -9.189784e+00   1.227677e+02   4.985535e+01
   3.127434e+02  -7.103636e-02  -6.963474e-01  -7.141807e-01  -1.993210e+01   8.300208e+01   6.107365e+01
   2.225228e+03   1.314407e-01  -4.802698e-01  -8.672164e-01  -3.579526e+01   1.268257e+02   3.964929e+01
   2.260180e+02  -8.646343e-01   3.030485e-01  -4.007107e-01   9.845307e+01  -1.959843e+01   2.229744e+01
